,key_0,type,size,age,gender,has_name,spay_neuter,intake_condition,pit_bull,intake_location,adopt_return,adopt_return_predict_proba,latitude,longitude
82,82,CAT,KITTEN,1.0,Female,1,1,TREATABLE/REHAB,0,SANTA ROSA,0,0.019234523,,
83,83,OTHER,MED,,Unknown,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
84,84,OTHER,X-LRG,,Female,1,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.729916,-122.883041
85,85,CAT,SMALL,,Male,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,,
86,86,DOG,SMALL,2.0,Male,0,1,UNKNOWN,0,SANTA ROSA,0,0.063597426,,
87,87,CAT,SMALL,18.0,Female,0,0,UNTREATABLE,0,SANTA ROSA,0,0.0069242385,,
88,88,DOG,MED,,Male,1,1,UNKNOWN,0,SONOMA COUNTY,0,0.013261708,38.486997,-122.749134
89,89,CAT,KITTEN,1.0,Male,0,1,HEALTHY,0,SANTA ROSA,0,0.036917914,38.486997,-122.749134
90,90,DOG,SMALL,12.0,Female,1,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.790859,-123.010876
91,91,CAT,KITTEN,1.0,Male,0,1,HEALTHY,0,SANTA ROSA,0,0.036917914,38.458965,-122.630156
92,92,DOG,TOY,,Female,0,0,HEALTHY,0,SONOMA COUNTY,0,0.0069242385,37.916331,-122.020165
93,93,OTHER,SMALL,,Unknown,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.486997,-122.749134
94,94,DOG,LARGE,6.0,Male,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.403734,-122.736775
95,95,DOG,SMALL,10.0,Female,1,0,TREATABLE/REHAB,0,SONOMA COUNTY,0,0.0069242385,37.916331,-122.020165
96,96,CAT,SMALL,12.0,Female,0,1,UNKNOWN,0,SONOMA COUNTY,0,0.039118364,,
97,97,DOG,PUPPY,2.0,Female,1,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.403734,-122.736775
98,98,CAT,KITTEN,3.0,Male,1,1,HEALTHY,0,WINDSOR,0,0.075531185,38.439152,-122.672541
99,99,DOG,SMALL,,Female,1,0,HEALTHY,0,SANTA ROSA,0,0.0069242385,38.403734,-122.736775
100,100,DOG,PUPPY,2.0,Male,1,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.403734,-122.736775
101,101,CAT,SMALL,4.0,Male,0,1,UNKNOWN,0,SANTA ROSA,0,0.06968674,,
102,102,CAT,SMALL,3.0,Female,0,1,HEALTHY,0,SANTA ROSA,0,0.062474933,,
103,103,DOG,SMALL,8.0,Female,1,1,HEALTHY,0,SONOMA COUNTY,0,0.118535936,37.916331,-122.020165
104,104,OTHER,SMALL,,Unknown,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.486997,-122.749134
105,105,CAT,SMALL,12.0,Female,0,1,UNTREATABLE,0,SONOMA COUNTY,0,0.035333708,,
106,106,DOG,SMALL,7.0,Male,1,1,UNKNOWN,0,SONOMA COUNTY,0,0.041889723,38.458384,-122.675588
107,107,DOG,MED,3.0,Female,0,1,HEALTHY,0,SANTA ROSA,0,0.15937704,38.325442,-122.71081
108,108,DOG,MED,6.0,Male,1,0,HEALTHY,1,SANTA ROSA,0,0.0069242385,38.403734,-122.736775
109,109,DOG,MED,2.0,Female,0,1,TREATABLE/REHAB,0,SONOMA COUNTY,0,0.022169223,38.439152,-122.672541
110,110,OTHER,SMALL,4.0,Female,0,1,HEALTHY,0,SONOMA COUNTY,0,0.038314305,38.486997,-122.749134
111,111,DOG,MED,6.0,Male,1,0,HEALTHY,1,SANTA ROSA,0,0.0069242385,38.403734,-122.736775
112,112,DOG,TOY,2.0,Female,0,1,TREATABLE/REHAB,0,SONOMA COUNTY,0,0.019280626,38.236012,-122.730241
113,113,OTHER,SMALL,8.0,Female,0,1,HEALTHY,0,SANTA ROSA,0,0.0715453,38.458384,-122.675588
114,114,CAT,KITTEN,1.0,Male,1,1,TREATABLE/REHAB,0,SANTA ROSA,0,0.019234523,,
115,115,CAT,KITTEN,1.0,Male,0,1,UNKNOWN,0,SONOMA COUNTY,0,0.03825807,38.486997,-122.749134
116,116,DOG,PUPPY,5.0,Male,1,1,HEALTHY,1,SANTA ROSA,0,0.15289195,38.458965,-122.630156
117,117,DOG,LARGE,12.0,Female,1,1,TREATABLE/MANAGEABLE,0,SONOMA COUNTY,0,0.052627273,38.403734,-122.736775
118,118,DOG,LARGE,,Male,1,1,UNKNOWN,0,SONOMA COUNTY,0,0.013261708,38.790859,-123.010876
119,119,CAT,SMALL,3.0,Male,1,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.618857,-122.861927
120,120,DOG,LARGE,,Male,1,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.245316,-122.59871
121,121,DOG,LARGE,7.0,Male,1,1,TREATABLE/MANAGEABLE,1,SANTA ROSA,0,0.0993718,38.458384,-122.675588
122,122,DOG,PUPPY,2.0,Male,1,1,UNKNOWN,1,SANTA ROSA,0,0.092492536,38.541541,-122.809202
